date,gap
2021/2/20,0
2021/2/21,0
2021/2/22,0
2021/2/23,0
2021/2/24,0
2021/2/25,0
2021/2/26,0
2021/2/27,0
2021/2/28,1.160715848
2021/3/1,2.762832609
2021/3/2,3.179492284
2021/3/3,2.251534323
2021/3/4,0.948858713
2021/3/5,0.227589504
2021/3/6,0
2021/3/7,0
2021/3/8,0.102336338
2021/3/9,0.251348663
2021/3/10,0.721108295
2021/3/11,1.763886205
2021/3/12,1.476373935
2021/3/13,0.789640676
2021/3/14,1.053293833
2021/3/15,2.463642272
2021/3/16,2.762195398
2021/3/17,2.827147544
2021/3/18,3.280246681
2021/3/19,2.461982285
2021/3/20,1.551387377
2021/3/21,1.00666538
2021/3/22,1.075702913
2021/3/23,1.52423497
2021/3/24,2.00867647
2021/3/25,1.791289547
2021/3/26,1.218113752
2021/3/27,0.601102633
2021/3/28,1.04944207
2021/3/29,2.250869291
2021/3/30,3.6499403
2021/3/31,3.585165126
2021/4/1,3.557433068
2021/4/2,3.981707666
2021/4/3,3.682000269
2021/4/4,3.843455047
2021/4/5,3.892657611
2021/4/6,3.596987537
2021/4/7,3.491071259
2021/4/8,3.268313542
2021/4/9,2.318827348
2021/4/10,1.858595964
2021/4/11,1.5
2021/4/12,1.846051122
2021/4/13,2.851932635
2021/4/14,2.851815705
2021/4/15,2.147769297
2021/4/16,0.816190911
2021/4/17,0
2021/4/18,0
2021/4/19,0
2021/4/20,0
2021/4/21,0
2021/4/22,0
2021/4/23,0
2021/4/24,0
2021/4/25,0
2021/4/26,0
2021/4/27,0
2021/4/28,0
2021/4/29,0
2021/4/30,0
2021/5/1,0
2021/5/2,0
2021/5/3,0
2021/5/4,0
2021/5/5,0.223835017
2021/5/6,0
2021/5/7,0
2021/5/8,0
2021/5/9,0
2021/5/10,0
2021/5/11,0
2021/5/12,0
2021/5/13,1.4222916
2021/5/14,1.152145622
2021/5/15,0.11894902
2021/5/16,0
2021/5/17,0
2021/5/18,0
2021/5/19,0
2021/5/20,0
2021/5/21,0
2021/5/22,0
2021/5/23,0
2021/5/24,0
2021/5/25,0
2021/5/26,0
2021/5/27,0.082316133
2021/5/28,0
2021/5/29,0
2021/5/30,0
2021/5/31,0
2021/6/1,0
2021/6/2,0
2021/6/3,0
2021/6/4,0
2021/6/5,0
2021/6/6,0
2021/6/7,0
2021/6/8,0
2021/6/9,0
2021/6/10,0
2021/6/11,0
2021/6/12,0
2021/6/13,0
2021/6/14,0
2021/6/15,0
2021/6/16,0
2021/6/17,0
2021/6/18,0.28061314
2021/6/19,0.239532221
2021/6/20,0.835378299
2021/6/21,2.16960776
2021/6/22,2.501868335
2021/6/23,2.248309086
2021/6/24,1.130580474
2021/6/25,0
2021/6/26,0
2021/6/27,0.591437811
2021/6/28,0.863939789
2021/6/29,0.097174411
2021/6/30,0
2021/7/1,0
2021/7/2,0
2021/7/3,0
2021/7/4,0
2021/7/5,0
2021/7/6,0
2021/7/7,0
2021/7/8,0
2021/7/9,0
2021/7/10,0
2021/7/11,0
2021/7/12,0
2021/7/13,0
2021/7/14,0
2021/7/15,0
2021/7/16,0
2021/7/17,0
2021/7/18,0
2021/7/19,0.415072421
2021/7/20,0.750171173
2021/7/21,0.864380709
2021/7/22,1.872508413
2021/7/23,1.878938492
2021/7/24,2.274927225
2021/7/25,2.935602334
2021/7/26,3.46238836
2021/7/27,3.935337231
2021/7/28,4.739489665
2021/7/29,5.554028585
2021/7/30,5.346975968
2021/7/31,4.664248597
